Bus name,Departure time,arrival time,price/seat
Dola Paribahan Ltd,10:00 PM,3:00 AM,৳ 800
Emad Paribahan(Pvt.)Ltd.,10:00 PM,2:00 AM,৳ 650 | ৳ 600
Ena Transport (Pvt) Ltd,10:00 PM,12:00 PM,৳ 700 | ৳ 650
Tungipara Express,10:20 PM,1:10 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,10:30 PM,4:00 AM,৳ 750
SHOHAGH PARIBAHAN,10:30 PM,6:30 AM,৳ 650
SHOHAGH PARIBAHAN,10:45 PM,6:45 AM,৳ 650
Tungipara Express,10:45 PM,3:30 AM,৳ 700
Emad Paribahan(Pvt.)Ltd.,10:45 PM,6:45 AM,৳ 650
SHOHAGH PARIBAHAN,10:50 PM,6:50 AM,৳ 1200
Ena Transport (Pvt) Ltd,11:00 PM,3:00 AM,৳ 650
Ena Transport (Pvt) Ltd,11:00 PM,4:15 AM,৳ 650
Ena Transport (Pvt) Ltd,11:00 PM,5:00 AM,৳ 700
Ena Transport (Pvt) Ltd,11:00 PM,4:30 AM,৳ 650
SHOHAGH PARIBAHAN,11:30 PM,7:30 AM,৳ 1200
Hanif Enterprise,11:30 PM,6:00 AM,৳ 700
SHOHAGH PARIBAHAN,11:30 PM,7:30 AM,৳ 650
Ena Transport (Pvt) Ltd,11:30 PM,5:00 AM,৳ 900
Ena Transport (Pvt) Ltd,11:30 PM,5:30 AM,৳ 900
Tungipara Express,11:35 PM,2:45 AM,৳ 650
Tungipara Express,11:45 PM,2:55 AM,৳ 650
Tungipara Express,11:55 PM,4:40 AM,৳ 650
SHOHAGH PARIBAHAN,11:59 PM,7:59 AM,৳ 900
